colour,count,common uses
"#212529",38,"--bs-dark | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1); color | body (1); background-color | kbd (1); --bs-table-striped-color | .table (1); --bs-table-active-color | .table (1); --bs-table-hover-color | .table (1); color | .table (1); --bs-table-bg | .table-dark (1)"
"#0d6efd",33,"--bs-blue | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1); --bs-primary | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1); color | a (1); background-color | .form-check-input:checked (1); border-color | .form-check-input:checked (1); background-color | .form-check-input[type=checkbox]:indeterminate (1); border-color | .form-check-input[type=checkbox]:indeterminate (1); background-color | .form-range::-webkit-slider-thumb (1)"
"#f1eeed",33,"background-color | .si-input-prefix (1); border-bottom | .ui-datepicker-calendar thead (1); background-color | .brand-figure figcaption (1); background-color | .alert-neutral (1); background-color | .file-drop-area (1); background-color | .si-badge__exterior--bordered-default (1); background | .abundance-card--color-neutral-light (1); background-color | .abundance-note (1)"
"#6c757d",31,"--bs-gray | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1); --bs-secondary | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1); color | caption (1); color | .blockquote-footer (1); color | .figure-caption (1); color | .form-text (1); color | .form-control::placeholder (1); background-color | .btn-secondary (1)"
"#e9e4e3",29,"background-color | .bg-colour--neutral--300,.bg-color--neutral--300 (1); background-color | .brand-btn-grey--bordered:hover (1); background-color | .brand-btn-grey--bordered:active (1); background-color | .brand-btn-grey--floating:hover (1); background-color | .brand-btn-grey--floating:active (1); border | .si-modal (1); border-top | .si-page-table--sm-only-compact .si-page-table__tbody-tr--returns (1); background-color | .si-page-table--sm-only-compact .si-page-table__thead-th--statement (1)"
"#557318",26,"border-color | .si-form-control.valid,.valid#opc_dropdown.form-control (2); outline-color | .si-form-control.valid:focus,.valid#opc_dropdown.form-control:focus (2); background-color | .cookie-settings label input[value*=True]:checked~.cookie-setting__item--checkmark (1); border | .cookie-settings label input[value*=True]:checked~.cookie-setting__item--checkmark (1); color | .cookie-settings label input[value*=True]:checked~.cookie-setting__item--label (1); color | .cookie-settings--confirmation (1); color | .type-valid (1); color | .si-transfer-money .field-validation-valid (1)"
"#dc3545",25,"--bs-red | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1); --bs-danger | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1); color | .invalid-feedback (1); border-color | .was-validated .form-control:invalid,.form-control.is-invalid (1); border-color | .was-validated .form-control:invalid:focus,.form-control.is-invalid:focus (1); border-color | .was-validated .form-select:invalid,.form-select.is-invalid (1); border-color | .was-validated .form-select:invalid:focus,.form-select.is-invalid:focus (1); border-color | .was-validated .form-check-input:invalid,.form-check-input.is-invalid (1)"
"#198754",25,"--bs-green | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1); --bs-success | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1); color | .valid-feedback (1); border-color | .was-validated .form-control:valid,.form-control.is-valid (1); border-color | .was-validated .form-control:valid:focus,.form-control.is-valid:focus (1); border-color | .was-validated .form-select:valid,.form-select.is-valid (1); border-color | .was-validated .form-select:valid:focus,.form-select.is-valid:focus (1); border-color | .was-validated .form-check-input:valid,.form-check-input.is-valid (1)"
"#f8f9fa",19,"--bs-light | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1); --bs-table-bg | .table-light (1); background-color | .btn-light (1); border-color | .btn-light (1); background-color | .btn-light:disabled,.btn-light.disabled (1); border-color | .btn-light:disabled,.btn-light.disabled (1); color | .btn-outline-light (1); border-color | .btn-outline-light (1)"
"#faf8f8",18,"background-color | .bg-color--secondary (1); background-color | .bg-colour--neutral--100,.bg-color--neutral--100 (1); background-color | .si-nav (1); background-color | .si-nav__combined-menu-container (1); background-color | .si-nav__combined-menu-container::before (1); background | .si-nav__dropdown-menu (1); background-color | .si-page__top--messages (1); background-color | @media(max-width: 767px){.si-page__top--messages (1)"
"#dee2e6",18,"border-color | .nav-tabs .nav-link.active,.nav-tabs .nav-item.show .nav-link (2); border | .img-thumbnail (1); border-color | .table (1); background-color | .form-range::-webkit-slider-runnable-track (1); background-color | .form-range::-moz-range-track (1); border-bottom | .nav-tabs (1); border-color | .nav-tabs .nav-link:hover,.nav-tabs .nav-link:focus (1); border | .page-link (1)"
"#ffeecd",18,"background-color | .bg-colour--yellow-surface,.bg-color--yellow-surface (1); background-color | .brand-btn-yellow (1); border-color | .brand-btn-yellow (1); background-color | .brand-btn-yellow:active (1); background-color | .brand-btn-yellow:focus (1); border-color | .brand-btn-yellow:focus (1); background-color | .brand-btn-yellow--bordered:hover (1); background-color | .brand-btn-yellow--bordered:active (1)"
"#1f8f26",18,"color | .si-page-highlight-box__data--green (1); color | .si-page-dropdown__toggle[data-account-type='IF ISA portfolio'] span (1); color | .si-page-dropdown__menu-btn[data-account-type='IF ISA portfolio'] (1); color | .si-page-dropdown__menu-btn.active[data-account-type='IF ISA portfolio'] (1); color | .si-portfolio-link--green (1); color | link--green:hover,.si-portfolio-link--green:focus,.si-portfolio-link--green:active,.si-portfolio-link--green:active:hover,.si-portfolio-link--green:active:focus (1); color | .si-portfolio-return-wallet-dropdown__btn--ifisa (1); color | .si-transaction-statement-dropdown__panel[data-text='IF ISA portfolio'] span (1)"
"#ffc107",17,"--bs-yellow | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1); --bs-warning | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1); background-color | .btn-warning (1); border-color | .btn-warning (1); background-color | .btn-warning:disabled,.btn-warning.disabled (1); border-color | .btn-warning:disabled,.btn-warning.disabled (1); color | .btn-outline-warning (1); border-color | .btn-outline-warning (1)"
"#0dcaf0",17,"--bs-cyan | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1); --bs-info | Copyright 2011-2021 The Bootstrap Authors * Copyright 2011-2021 Twitter, Inc. * Licensed under MIT (https://github.com/twbs/bootstrap/blob/main/LICENSE) */:root (1); background-color | .btn-info (1); border-color | .btn-info (1); background-color | .btn-info:disabled,.btn-info.disabled (1); border-color | .btn-info:disabled,.btn-info.disabled (1); color | .btn-outline-info (1); border-color | .btn-outline-info (1)"
"#cc9223",17,"color | .brand-btn-yellow--bordered (1); color | .brand-btn-yellow--bordered:hover (1); border-color | .brand-btn-yellow--bordered:active (1); color | .brand-btn-yellow--bordered:active (1); color | .brand-btn-yellow--bordered:focus (1); color | .brand-btn-yellow--floating (1); color | .brand-btn-yellow--floating:hover (1); color | .brand-btn-yellow--floating:active (1)"
"#c10c21",16,"border-color | .si-badge__exterior--bordered-failure (1); background-color | .si-badge--Failed,.si-badge--failure,.si-badge--Refunded,.si-badge--TransferFailed (1); color | .si-badge__font--Failed,.si-badge__font--failure,.si-badge__font--Refunded,.si-badge__font--TransferFailed (1); color | .si-page-radio__error-message (1); color | .si-page-radio__error-message a (1); color | .si-auth #opc_error_message,.si-auth-footer #opc_error_message (1); border-color | r,.si-auth-footer input[type=number].input-validation-error,.si-auth-footer input[type=tel].input-validation-error,.si-auth-footer select.input-validation-error (1); border | .si-auth input.si-auth-input--valid-input.input-validation-error (1)"
"#ffb72c",15,"background-color | .bg-colour--yellow,.bg-color--yellow (1); background-color | .brand-btn-yellow:hover (1); border-color | .brand-btn-yellow:hover (1); border-color | .brand-btn-yellow:active (1); border-color | .brand-btn-yellow--bordered (1); border-color | .brand-btn-yellow--bordered:hover (1); border-color | .brand-btn-yellow--bordered:focus (1); border-color | .brand-btn-yellow--floating:active (1)"
"#90908d",15,"border | .pagination a:hover,.pagination a:focus,.pagination a:active,.pagination a:active:hover,.pagination a:active:focus (1); border-color | ination>li.active a:hover,.pagination>li.active a:focus,.pagination>li.active a:active,.pagination>li.active a:active:hover,.pagination>li.active a:active:focus (1); border | .ui-datepicker select.ui-datepicker-month,.ui-datepicker select.ui-datepicker-year (1); border | .si-pagination .pagination>li>a (1); border | .si-page__input-group .input-group-addon (1); border-right | .si-invest-input-currency-group__text (1); border | .pitch-page-tabpanel__dropdown-panel (1); border | .styled-select__wrapper .styled-select (1)"
"#176f1d",15,"border-color | .si-badge__exterior--bordered-paid (1); border-color | .si-badge__exterior--ifisa-portfolio (1); background-color | .si-badge--Succeeded,.si-badge--success,.si-badge--paid,.si-badge--TransferCreated (1); color | .si-badge__font--Succeeded,.si-badge__font--success,.si-badge__font--paid,.si-badge__font--TransferCreated (1); color | .abundance-badge--isa-portfolio (1); border | .abundance-badge--framed.abundance-badge--isa-portfolio (1); color | .abundance-card--isa-portfolio a (1); color | -card--isa-portfolio a:focus,.abundance-card--isa-portfolio a:active,.abundance-card--isa-portfolio a:active:hover,.abundance-card--isa-portfolio a:active:focus (1)"
"#cccccc",14,"border | e-hover,.ui-widget-header .ui-state-hover,.ui-state-focus,.ui-widget-content .ui-state-focus,.ui-widget-header .ui-state-focus,.ui-button:hover,.ui-button:focus (1); border-left-color | .is-dropdown__menu a[data-toggle=dropdown]::after (1); border-top-color | .is-dropdown__menu a[data-toggle=dropdown].active::after (1); border-top-color | .dropdown-toggle::after (1); border-left-color | @media(max-width: 1080px){.dropdown-toggle::after (1); border-top-color | .open .dropdown-toggle::after (1); border-top-color | .dropdown-toggle.active::after (1); border-top-color | .dropdown-toggle.show:after (1)"
"#f4f4f4",14,"background-color | .investor-type__title (1); background-color | .investor-card (1); background-color | .si-invest-card (1); background-color | .si-payment .panel-default (1); background | .si-portfolio-btn (1); border | .si-standing-order (1); background-color | .si-standing-order__box (1); background-color | .si-transaction-statement__row--filter (1)"
"rgba(0,0,0,.12)",14,"box-shadow | .search-field (1); box-shadow | .ui-widget.ui-widget-content (1); box-shadow | .brand-navbar .brand-dropdown-menu (1); box-shadow | @media(min-width: 992px){.si-page-card--invest (1); box-shadow | .si-page-modal--isa .modal-content (1); box-shadow | .si-page-dropdown__menu (1); box-shadow | .si-portfolio-investments-tab-menu__dropdown-menu (1); box-shadow | .si-portfolio-hero__main-hero (1)"
"#e9ecef",12,"border-color | .nav-tabs .nav-link:hover,.nav-tabs .nav-link:focus (2); background-color | .form-control:disabled,.form-control[readonly] (1); background-color | .form-control::file-selector-button (1); background-color | .form-control::-webkit-file-upload-button (1); background-color | .form-select:disabled (1); background-color | .input-group-text (1); background-color | .page-link:hover (1); background-color | .page-link:focus (1)"
"hsl(0,0%,76%)",12,"border | .forum-topics__item (1); border-top | .forum-topic-list (1); border-bottom | .forum-topic-msg__header (1); border | .forum-topic-msg-form (1); border-top | .forum-topic-form-footer (1); border-top | .forum-topic-footer (1); border-bottom | .si-resale__tabs (1); border-bottom | .si-resale__table-row,.si-resale__table-header (1)"
"#f9f9f9",11,"background-color | .forum-header,.forum-topics (1); background-color | .forum-topic-msg (1); border-right | .forum-topic-msg__header.has-caret:before (1); background-color | .forum-topic-avatar (1); border-left | .forum-topic__item.reverse .forum-topic-msg__header.has-caret:before (1); background | .si-resale .listing-toggle.expanded .toggle-button (1); border-bottom | .si-resale__available-investments-options (1); background | .si-resale__empty-list (1)"
"#e2e2e2",11,"border-bottom | .si-data-chunk-list--stacked.si-data-chunk-list--with-border .si-data-chunk:not(:last-child) (1); border-top | hr.si-horizontal-rule (1); border | .si-table--borders-all td,.si-table--borders-all th (1); border-bottom | .si-table--borders-between-rows tr,.si-table--borders-below-rows tr (1); border-top | .si-table--borders-between-rows tfoot tr:last-child (1); border-top | .si-table--mobile-stack tbody,.si-table--mobile-stack tfoot,.si-table--mobile-stack-compact tbody,.si-table--mobile-stack-compact tfoot (1); border-bottom | .si-table--mobile-stack tr:not(.si-table__row--ignore-mobile-stack),.si-table--mobile-stack-compact tr:not(.si-table__row--ignore-mobile-stack) (1); border-bottom | .si-table--mobile-stack tr.si-table__row--ignore-mobile-stack,.si-table--mobile-stack-compact tr.si-table__row--ignore-mobile-stack (1)"
"#008391",10,"background-color | .bg-color--risk-warning (1); color | .si-btn--secondary:hover (1); border-color | .si-btn--secondary:active (1); color | .si-input[type=file]::file-selector-button:hover (1); border-color | .si-input[type=file]::file-selector-button:active (1); background | .abundance-badge--secondary (1); border | .abundance-badge--framed.abundance-badge--secondary (1); color | .abundance-badge--no-background.abundance-badge--secondary (1)"
"#f7f7f7",10,"border-bottom | .faq-group-inner (1); background-color | .si-onboarding-page (1); background-color | .si-auth-header (1); background-color | .si-auth-footer__risk (1); background-color | .si-auth-footer__copyright (1); background-color | .si-auth-checkbox~label:before,.si-auth-checkbox__label:before (1); background-color | .si-auth-password-validation__checkbox (1); background-color | .si-auth-warning (1)"
"#185f8c",10,"border-color | .si-alert--info (1); color | .si-alert--info (1); color | .si-status-badge--info (1); border-color | .si-status-badge--info (1); background-color | .si-status-badge__dot--info (1); color | .alert-info (1); border-color | .alert-info (1); color | .alert-info a (1)"
"rgba(54,54,53,.06)",10,"background-color | .si-btn--primary:hover (1); background-color | .si-btn--secondary:hover (1); background-color | .si-btn--tertiary:hover (1); background-color | .si-input[type=file]::file-selector-button:hover (1); box-shadow | hover,.abundance-card--interactive:focus,.abundance-card--interactive:active,.abundance-card--interactive:active:hover,.abundance-card--interactive:active:focus (1); box-shadow | .abundance-card--interactive:has(:focus-visible) (1); box-shadow | .abundance-radio-card:hover,.abundance-radio-card:focus,.abundance-radio-card:active,.abundance-radio-card:active:hover,.abundance-radio-card:active:focus (1); box-shadow | .abundance-radio-card:has(:focus-visible) (1)"
"#964300",10,"border-color | .si-badge__exterior--general-portfolio (1); color | .abundance-badge--general-portfolio (1); border | .abundance-badge--framed.abundance-badge--general-portfolio (1); color | .abundance-card--general-portfolio a (1); color | ortfolio a:focus,.abundance-card--general-portfolio a:active,.abundance-card--general-portfolio a:active:hover,.abundance-card--general-portfolio a:active:focus (1); color | .abundance-dashboard__card-heading-link--general-portfolio a (1); color | lio a:active,.abundance-dashboard__card-heading-link--general-portfolio a:active:hover,.abundance-dashboard__card-heading-link--general-portfolio a:active:focus (1); color | .si-mega-menu__submenu a.si-mega-menu__link--orange (1)"
"rgb(10.4,88,202.4)",9,"color | a:hover (1); border-color | .btn-primary:hover (1); border-color | .btn-check:focus+.btn-primary,.btn-primary:focus (1); background-color | .btn-check:checked+.btn-primary,.btn-check:active+.btn-primary,.btn-primary:active,.btn-primary.active,.show>.btn-primary.dropdown-toggle (1); color | .btn-link:hover (1); color | .nav-link:hover,.nav-link:focus (1); color | .page-link:hover (1); color | .page-link:focus (1)"
"rgba(13,110,253,.25)",9,"box-shadow | .form-control:focus (1); box-shadow | .form-select:focus (1); box-shadow | .form-check-input:focus (1); box-shadow | .form-range:focus::-webkit-slider-thumb (1); box-shadow | .form-range:focus::-moz-range-thumb (1); box-shadow | .btn-check:focus+.btn,.btn:focus (1); box-shadow | .accordion-button:focus (1); box-shadow | .page-link:focus (1)"
"#979797",9,"color | .si-mega-menu__investor-name (1); box-shadow | @media(min-width: 1080px)and (min-width: 1080px){.si-mega-menu__submenu--dark a.si-mega-menu__item:hover (1); border-bottom | @media(max-width: 1079px){.si-mega-menu__item (1); border-color | @media(min-width: 1080px){.si-mega-menu__item--border (1); border-bottom | @media(max-width: 1079px){.si-mega-menu__main-link (1); border | .checkbox-round .checkmark (1); border | .si-auth-footer input[type=password],.si-auth-footer input[type=email],.si-auth-footer input[type=number],.si-auth-footer input[type=tel],.si-auth-footer select (1); border | .si-auth-checkbox~label:before,.si-auth-checkbox__label:before (1)"
"#a95214",9,"border-color | .si-alert--warning (1); color | .si-alert--warning (1); color | .si-status-badge--warning (1); border-color | .si-status-badge--warning (1); background-color | .si-status-badge__dot--warning (1); color | .alert-warning (1); border-color | .alert-warning (1); color | .alert-warning a (1)"
"#c25600",9,"color | .si-page-dropdown__toggle[data-account-type='General portfolio'] span (1); color | .si-page-dropdown__menu-btn[data-account-type='General portfolio'] (1); color | .si-page-dropdown__menu-btn.active[data-account-type='General portfolio'] (1); color | .si-portfolio-link--orange (1); color | -orange:hover,.si-portfolio-link--orange:focus,.si-portfolio-link--orange:active,.si-portfolio-link--orange:active:hover,.si-portfolio-link--orange:active:focus (1); color | .si-portfolio-return-wallet-dropdown__btn--general (1); color | .si-transaction-statement-dropdown__panel[data-text='General portfolio'] span (1); color | .si-transaction-statement-dropdown-menu__btn span[data-account-type=General] (1)"
"rgba(54,54,53,.5)",9,"color | .si-auth input:-ms-input-placeholder,.si-auth-footer input:-ms-input-placeholder (2); color | .si-auth input::placeholder,.si-auth-footer input::placeholder (1); color | .si-auth input::-ms-input-placeholder,.si-auth-footer input::-ms-input-placeholder (1); color | .si-auth input::-webkit-input-placeholder,.si-auth-footer input::-webkit-input-placeholder (1); color | .si-auth input::-moz-placeholder,.si-auth-footer input::-moz-placeholder (1); color | .si-auth select,.si-auth-footer select (1); color | .si-auth option:first-child,.si-auth-footer option:first-child (1); color | .si-auth-app-test__title (1)"
"hsl(0,0%,95%)",8,"background-color | .si-portfolio__col--highlighted (1); background-color | .si-transfer-money__input:disabled,.si-transfer-money input[type=text]:disabled (1); border-color | .si-transfer-money__input:disabled,.si-transfer-money input[type=text]:disabled (1); background-color | .si-transfer-money__direction (1); background | .si-resale__pitch .PitchInvestment-content,.si-resale__pitch--confirm .PitchInvestment-content (1); background | .framework-skeleton__text,.framework-skeleton__list-item (1); color | .framework-skeleton__text,.framework-skeleton__list-item (1); background-color | .timeline-horizontal:before (1)"
"#cdebf0",8,"background-color | .bg-colour--secondary--surface,.bg-color--secondary--surface (1); background-color | .btn-secondary--bordered:hover,.si-btn-secondary--bordered:hover (1); background-color | .btn-secondary--bordered:active,.si-btn-secondary--bordered:active (1); background-color | .btn-secondary--floating:hover,.si-btn-secondary--floating:hover (1); background-color | .btn-secondary--floating:active,.si-btn-secondary--floating:active (1); background | .abundance-card--color-cyan-very-light (1); background-color | .abundance-radio-card--secondary:has(input:checked) (1); background-color | .pitch-page-hero--company (1)"
"#f27fae",8,"background-color | .bg-colour--pink,.bg-color--pink (1); background | .abundance-card--color-pink (1); border-left | .abundance-disclaimer (1); border-left | .abundance-quote (1); background-color | .abundance-blob--pink (1); color | .abundance-radio-card--primary li::marker (1); color | .abundance-radio-card--primary hr (1); border-color | .abundance-radio-card--primary:has(input:checked) (1)"
"rgba(54,54,53,.6)",7,"background-color | .bg-color--backdrop (1); background-color | .si-loading-spinner--overlay (1); background-color | .si-modal::backdrop (1); background-color | .si-nav__expanded-menu-backdrop (1); background-color | .si-mega-menu__dropdown-btn.show~.si-mega-menu__backdrop (1); background-color | .si-mega-menu__backdrop.active (1); color | .si-impact-feed__post-date (1)"
"rgba(0,0,0,.1)",7,"border-color | .navbar-light .navbar-toggler (1); border | .toast (1); box-shadow | @media(min-width: 1080px){.is-dropdown__menu (1); box-shadow | .si-mega-menu a.si-mega-menu__item:active (1); box-shadow | .alert-warning (1); box-shadow | .alert-inf (1); box-shadow | .si-impact-feed__card (1)"
"rgba(0,0,0,.2)",7,"border | .modal-content (1); border | .popover (1); border-bottom | .popover-header (1); border-right | .offcanvas-start (1); border-left | .offcanvas-end (1); border-bottom | .offcanvas-top (1); border-top | .offcanvas-bottom (1)"
"#dddddd",7,"border-color | .pagination>li>a:hover,.pagination>li>a:focus,.pagination>li>a:active,.pagination>li>a:active:hover,.pagination>li>a:active:focus (1); border | .pagination>li>a (1); border | .ui-widget-content (1); border | .ui-widget-header (1); background | .styled-checkbox:disabled~label:before (1); box-shadow | .nda-box (1); border-bottom | .si-transaction-statement-heading (1)"
"#58585a",7,"color | .powered-by-mangopay (1); background-color | .btn-primary[disabled]:hover,.si-btn-primary[disabled]:hover,.brand-btn-primary[disabled]:hover (1); border-color | .btn-primary[disabled]:hover,.si-btn-primary[disabled]:hover,.brand-btn-primary[disabled]:hover (1); background-color | .brand-navbar__login-btn-primary[disabled]:hover (1); border-color | .brand-navbar__login-btn-primary[disabled]:hover (1); background-color | .si-auth-button-primary[disabled]:hover (1); border-color | .si-auth-button-primary[disabled]:hover (1)"
"hsl(0,0%,85%)",7,"border | .si-invest-inner (1); border-right | .si-invest-card-item--left (1); border | .PitchInvestment-content,.PitchInvesment-content (1); border | .PitchInvestment-content (1); border-bottom | .si-portfolio-link--funds a:first-of-type (1); border-top | .si-portfolio-profile-card (1); border | .si-panel (1)"
"rgba(151,151,151,.15)",7,"border-top | .si-auth-footer__risk (1); border-bottom | .si-auth-footer__risk (1); border-top | .si-auth-ruler (1); border | .si-auth-file-drop (1); border | .si-auth-identity-doc__upload[src*=blob] (1); border-top | .navbar .nav .si-auth-account-menu__link (1); border-color | ocus,.navbar .nav .si-auth-account-menu__link:active,.navbar .nav .si-auth-account-menu__link:active:hover,.navbar .nav .si-auth-account-menu__link:active:focus (1)"
"rgba(0,0,0,.125)",6,"border | .card (1); border-bottom | .card-header (1); border-top | .card-footer (1); box-shadow | .accordion-button:not(.collapsed) (1); border | .accordion-item (1); border | .list-group-item (1)"
"rgba(0,0,0,.06)",6,"box-shadow | .si-mega-menu a.si-mega-menu__item:active (1); box-shadow | .si-nav (1); box-shadow | .si-nav__dropdown-menu (1); box-shadow | .header (1); box-shadow | .si-mega-menu__card (1); box-shadow | .si-auth-identity-doc__upload[src*=blob] (1)"
"#0b0c0c",6,"color | .si-form-label (2); color | .styled-checkbox~label (1); border | .si-form-control,#opc_dropdown.form-control (1); border | .si-input-group-text (1); border | .styled-select__wrapper .styled-select (1)"
"rgba(0,0,0,.25)",5,"border | .form-check-input (1); border-top-color | .bs-popover-top>.popover-arrow::before,.bs-popover-auto[data-popper-placement^=top]>.popover-arrow::before (1); border-right-color | .bs-popover-end>.popover-arrow::before,.bs-popover-auto[data-popper-placement^=right]>.popover-arrow::before (1); border-bottom-color | .bs-popover-bottom>.popover-arrow::before,.bs-popover-auto[data-popper-placement^=bottom]>.popover-arrow::before (1); border-left-color | .bs-popover-start>.popover-arrow::before,.bs-popover-auto[data-popper-placement^=left]>.popover-arrow::before (1)"
"rgb(7.8,66,151.8)",5,"color | .alert-primary (1); color | .list-group-item-primary (1); color | .list-group-item-primary.list-group-item-action:hover,.list-group-item-primary.list-group-item-action:focus (1); background-color | .list-group-item-primary.list-group-item-action.active (1); border-color | .list-group-item-primary.list-group-item-action.active (1)"
"rgb(64.8,70.2,75)",5,"color | .alert-secondary (1); color | .list-group-item-secondary (1); color | .list-group-item-secondary.list-group-item-action:hover,.list-group-item-secondary.list-group-item-action:focus (1); background-color | .list-group-item-secondary.list-group-item-action.active (1); border-color | .list-group-item-secondary.list-group-item-action.active (1)"
